course,point,name,instructor,Department,time,realTime,Classroom,Typeofcredit,LectureLanguage,Eligible,Informationofalteration,Note
152048001,3,教育行政專題研究,湯志民,教育博一教育博二,四234,thu09-12,井塘020111,群,中文,否,異動資訊Information of alteration:N/A,備註Note:博（行）群修
152574001,3,教育期刊選讀與發表,侯永琪 ,教育碩一教育博一教育碩二教育博二,二D56 ,tue13-16,井塘020111,選,英文,否,異動資訊Information of alteration:N/A,備註Note:英語授課。碩博合開
152564001,3,諮商督導理論與實務專題研究,陳婉真 ,教育博一教育博二,四234 ,thu09-12,研究250207,選,中文,否,異動資訊Information of alteration:N/A,備註Note:博（心）
152047001,2,教育基礎理論專題研究,詹志禹、鄭同僚 ,教育博一教育博二,四78,thu16-18,井塘020111,群,中文,否,異動資訊Information of alteration:N/A,備註Note:博（跨組）群修；與鄭同僚教授合開；E化教室
152725001,3,生命口述傳記專題研究,倪鳴香 ,教育碩一教育博一教育碩二教育博二,二234 ,tue09-12,井塘020101,選,中文,否,異動資訊Information of alteration:N/A,備註Note:碩博(跨組)；方法論課程；與幼教所合開
152729001,3,人格心理學研究 ,胡悅倫 ,教育碩一教育碩二,三234 ,wed09-12,研究250422,選,中文,否,異動資訊Information of alteration:N/A,備註Note:碩；與輔諮碩合開
152039001,3,教育基礎理論與方法,詹志禹、鄭同僚 ,教育碩一教育碩二,五D56 ,fri13-16,井塘020110,必,中文,否,異動資訊Information of alteration:N/A,備註Note:碩必修；與鄭同僚教授合開
152603001,3,知識創新教育與科技研究,洪煌堯 ,教育碩一教育博一教育碩二教育博二,三D56 ,wed13-16,井塘電腦室020213,選,英文,否,異動資訊Information of alteration:N/A,備註Note:碩；與華文碩博合開；英語授課；院電腦教室
152744001,3,教育改革研究 ,湯志民 ,教育碩一教育碩二,二78E ,tue16-19,井塘020112,選,中文,否,異動資訊Information of alteration:N/A,備註Note:碩；與教政所合開
152588001,3,教育心理學研究,邱美秀 ,教育碩一教育碩二,二123 ,tue08-11,井塘020112,選,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
152755001,3,質性研究方法專題研究,鄭同僚 ,教育博一教育博二,三D56 ,wed13-16,井塘020110,選,中文,否,異動資訊Information of alteration:N/A,備註Note:博（跨組）； E化教室
152050001,3,學校行政專題研究,秦夢群 ,教育博一教育博二,四D56 ,thu13-16,井塘020112,群,中文,否,異動資訊Information of alteration:N/A,備註Note:博（行）群修
152851001,2,教育法規專題研究,董保城 ,教育博一教育博二,四78,thu16-18,井塘020110,選,中文,否,異動資訊Information of alteration:N/A,備註Note:博（行）；E化教室
152037001,3,學校輔導專題研究,王鍾和 ,教育博一教育博二,四234 ,thu09-12,井塘020101,群,中文,否,異動資訊Information of alteration:N/A,備註Note:博（心）群修； E化教室
152036001,3,教學心理學專題研究,詹志禹 ,教育博一教育博二,四D56 ,thu13-16,井塘020110,群,中文,否,異動資訊Information of alteration:N/A,備註Note:博（心）群修； E化教室
152568001,2,高等教育研究：國際教育趨勢、國際政策分析與高教品質保證,侯永琪 ,教育碩一教育博一教育碩二教育博二,未定或彈性,N/A,,選,英文,否,異動資訊Information of alteration:N/A,備註Note:國際課程，詳情請洽開課單位。
152605001,3,團體諮商研究,李宗芹 ,教育碩一教育碩二,二D56 ,tue13-16,研究250207,選,中文,否,異動資訊Information of alteration:N/A,備註Note:碩；與輔諮碩合開
152575001,3,教育視導與評鑑專題研究,郭昭佑 ,教育博一教育博二,四234 ,thu09-12,井塘020112,選,中文,否,異動資訊Information of alteration:N/A,備註Note:博（行）；E化教室
152690001,3,高層次思考教學研究,葉玉珠 ,教育博一教育博二,二D56 ,tue13-16,井塘020101,選,中文,否,異動資訊Information of alteration:N/A,備註Note:博（心）； E化教室
152580001,3,各國教育行政研究,陳榮政 ,教育碩一教育碩二,二D56 ,tue13-16,井塘020112,選,中文,否,異動資訊Information of alteration:N/A,備註Note:碩；與教政所合開
202003001,3,比較政府與政治,楊婉瑩 ,政治二,一D56 ,mon13-16,綜合270103,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
044006011,3,基督教與社會,郭承天 ,政治系,五D56 ,fri13-16,綜合270114,群,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
000211011,3,政治學 ,蔡中民 ,政治系,一D56 ,mon13-16,綜合270751,必,中文,否,異動資訊Information of alteration:N/A,備註Note:政治系優先。本課程於第二階段初選登記開放選課。
202022001,3,統計學,蔡宗漢 ,政治一,四234 ,thu09-12,綜合270103,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202132001,3,西洋政治思想史 ,郭立民 ,政治二,二D56 ,tue13-16,綜合270313,群,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202035001,3,政治哲學概論 ,陳建綱 ,政治一,二234 ,tue09-12,大勇210201,必,中文,否,異動資訊Information of alteration:N/A,備註Note:N/A
202842001,3,政治學實習 ,楊婉瑩 ,政治三政治四,四EFG ,thu18-21,綜合270726,選,中文,否,異動資訊Information of alteration:N/A,備註Note:未參加選課前說明會者，請先以mail徵得授課教師同意後再選課。
